Attention,BPM,Genre,Narrative Form,Song,Timestamp
"[60, 34, 67, 37, 53, 50, 16, 24, 26, 37, 26, 27, 3]",84,Lo-fi,Fiction,Thoughts of You,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[29, 34, 40, 24, 43, 37, 40, 67, 67, 48, 38, 70, 48]",145,EDM,Fiction,Burn Out,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[70, 50, 50, 21, 41, 63, 64, 35, 75, 27, 47, 37, 40]",140,Pop,Fiction,HandClap,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[91, 91, 61, 61, 61, 61, 61, 61, 66, 57, 57, 66, 66]",84,Lo-fi,Non-Fiction,Firefly,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[100, 100, 30, 30, 30, 30, 30, 30, 30, 35, 35, 35, 43]",136,EDM,Non-Fiction,Rising from the Ashes,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[61, 61, 61, 61, 61, 61, 57, 57, 57, 57, 57, 57, 57]",155,Pop,Non-Fiction,Everybody Talks,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
