Attention,BPM,Genre,Narrative Form,Song,Timestamp
"[84, 57, 63, 88, 75, 67, 78, 77, 50, 90, 43, 75, 67]",84,Lo-fi,Fiction,Thoughts of You,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[61, 69, 75, 51, 74, 56, 63, 67, 56, 63, 75, 51, 47]",145,EDM,Fiction,Burn Out,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[43, 41, 34, 47, 40, 41, 21, 37, 48, 34, 38, 40, 29]",140,Pop,Fiction,HandClap,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[67, 67, 50, 30, 47, 43, 35, 50, 40, 34, 38, 43, 26]",84,Lo-fi,Non-Fiction,Firefly,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[53, 37, 48, 41, 34, 56, 35, 50, 51, 30, 53, 48, 44]",136,EDM,Non-Fiction,Rising from the Ashes,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[48, 48, 47, 40, 75, 48, 50, 51, 43, 37, 38, 37, 38]",155,Pop,Non-Fiction,Everybody Talks,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
