Attention,BPM,Genre,Narrative Form,Song,Timestamp
"[70, 100, 91, 96, 84, 69, 96, 56, 75, 69, 88, 56, 61]",84,Lo-fi,Fiction,Thoughts of You,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[61, 56, 64, 35, 61, 21, 21, 80, 50, 35, 66, 37, 17]",145,EDM,Fiction,Burn Out,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[74, 78, 75, 81, 67, 75, 80, 66, 47, 27, 67, 40, 34]",140,Pop,Fiction,HandClap,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[38, 66, 60, 54, 40, 43, 51, 64, 37, 27, 26, 47, 51]",84,Lo-fi,Non-Fiction,Firefly,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[53, 48, 26, 56, 40, 40, 56, 47, 44, 37, 56, 56, 43]",136,EDM,Non-Fiction,Rising from the Ashes,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[24, 40, 77, 54, 38, 66, 44, 64, 34, 77, 60, 78, 47]",155,Pop,Non-Fiction,Everybody Talks,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
