Attention,BPM,Genre,Narrative Form,Song,Timestamp
"[35, 40, 38, 30, 13, 44, 23, 50, 56, 24, 34, 17, 43]",84,Lo-fi,Fiction,Thoughts of You,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[47, 7, 38, 14, 14, 37, 44, 48, 40, 30, 29, 43, 11]",145,EDM,Fiction,Burn Out,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[24, 37, 47, 48, 47, 56, 51, 61, 34, 41, 61, 50, 50]",140,Pop,Fiction,HandClap,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[54, 34, 34, 23, 23, 26, 0, 0, 0, 0, 17, 41, 66]",84,Lo-fi,Non-Fiction,Firefly,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[41, 44, 67, 83, 40, 90, 81, 56, 66, 83, 74, 74, 57]",136,EDM,Non-Fiction,Rising from the Ashes,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[41, 24, 66, 26, 23, 44, 48, 54, 30, 51, 40, 26, 40]",155,Pop,Non-Fiction,Everybody Talks,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
,,,,,
