Attention,BPM,Genre,Narrative Form,Song,Timestamp
"[37, 38, 56, 51, 51, 53, 61, 41, 61, 64, 27, 66, 50]",84,Lo-fi,Fiction,Thoughts of You,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[53, 60, 61, 34, 53, 67, 75, 66, 34, 44, 20, 63, 63]",145,EDM,Fiction,Burn Out,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[57, 60, 87, 54, 26, 51, 63, 67, 61, 50, 47, 57, 61]",140,Pop,Fiction,HandClap,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[67, 77, 67, 50, 35, 38, 67, 48, 61, 69, 50, 51, 56]",84,Lo-fi,Non-Fiction,Firefly,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[84, 51, 43, 43, 44, 54, 40, 66, 53, 60, 50, 54, 40]",136,EDM,Non-Fiction,Rising from the Ashes,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[80, 61, 57, 50, 51, 57, 40, 48, 43, 48, 51, 14, 38]",155,Pop,Non-Fiction,Everybody Talks,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
