Attention,BPM,Genre,Narrative Form,Song,Timestamp
"[53, 40, 60, 44, 67, 41, 69, 29, 60, 38, 51, 48, 54]",84,Lo-fi,Fiction,Thoughts of You,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[57, 69, 44, 67, 47, 61, 60, 57, 41, 67, 54, 48, 69]",145,EDM,Fiction,Burn Out,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[75, 53, 67, 56, 38, 54, 56, 37, 48, 47, 69, 44, 61]",140,Pop,Fiction,HandClap,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[66, 75, 60, 56, 54, 43, 57, 56, 51, 41, 60, 66, 54]",84,Lo-fi,Non-Fiction,Firefly,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[11, 93, 69, 64, 53, 66, 57, 54, 53, 74, 41, 74, 54]",136,EDM,Non-Fiction,Rising from the Ashes,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
"[13, 51, 38, 61, 30, 41, 54, 50, 53, 50, 26, 14, 40]",155,Pop,Non-Fiction,Everybody Talks,"[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0]"
